,start,end,nsnps,nsamplecov,tree
10,200000,300000,34.0,35.0,"(DU:1e-06,reference:0.010795,(EN:0.00199421,((BJVL19:1e-06,AR:0.000530046)100:0.00317679,((DO:1e-06,(NI:1e-06,(HE:1e-06,CH:1e-06)100:1e-06)100:0.0112312)100:0.00360072,(FLSF33:0.00400438,(FLBA140:1e-06,(CUCA4:0.00615913,((SCCU3:1e-06,((FLCK216:1e-06,(FLSF47:1e-06,FLMO62:1e-06)100:0.00268243)100:1e-06,((FLSA185:0.00149395,(CUSV6:1e-06,MXSA3017:0.00239542)100:1e-06)100:1e-06,(LALC2:1e-06,(TXMD3:1e-06,(FLCK18:1e-06,MXED8:0.00195825)100:1e-06)100:1e-06)100:1e-06)100:0.00293033)100:1e-06)100:0.00210571,(FLAB109:1e-06,(FLWO6:1e-06,((CRL0030:1e-06,BJSL25:1e-06)100:1.67374e-05,(FLSF54:1e-06,(CUVN10:1e-06,(BJSB3:1e-06,(CRL0001:1e-06,(MXGT4:1e-06,(HNDA09:0.00199023,(BZBB1:1e-06,TXGR3:0.00250407)100:1e-06)100:1e-06)100:0.00341781)100:1e-06)100:1e-06)100:1e-06)100:0.00241708)100:1e-06)100:1e-06)100:0.000852658)100:4.96961e-06)100:0.00114404)100:1e-06)100:0.0120178)100:0.00117912)100:0.00340445)100:1e-06);"
11,220000,320000,43.0,35.0,"(DU:1e-06,reference:0.00575133,((EN:0.00122211,(BJVL19:1e-06,AR:1e-06)100:0.00359877)100:0.0029078,(DO:0.00201429,((HE:1e-06,NI:0.00268966)100:0.0131951,(CH:0.00688638,(FLBA140:1e-06,(BJSB3:0.00138119,(TXGR3:0.00500826,(FLWO6:1e-06,(SCCU3:1e-06,(MXGT4:1e-06,(BJSL25:0.00221981,((FLAB109:1e-06,(FLSF54:1e-06,((CUVN10:1e-06,FLSF33:0.00297655)100:1e-06,(CRL0001:1e-06,(CUCA4:0.00306228,HNDA09:1e-06)100:1e-06)100:0.00825669)100:1e-06)100:1e-06)100:0.00198314,(CRL0030:1e-06,(BZBB1:1e-06,(FLSF47:0.00143477,((MXSA3017:1e-06,CUSV6:1e-06)100:1e-06,(FLSA185:0.00133684,(LALC2:1e-06,(MXED8:0.0016873,(FLCK216:1e-06,(TXMD3:1e-06,(FLCK18:1e-06,FLMO62:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00155507)100:1e-06)100:1e-06)100:0.00107938)100:0.00102741)100:1e-06)100:2.61153e-06)100:0.000921129)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00111083)100:0.0116105)100:0.00342933)100:1e-06)100:0.00424909)100:0.00231498);"
12,240000,340000,32.0,35.0,"(DU:1e-06,reference:0.00368649,(HE:1e-06,((HNDA09:1e-06,CUCA4:1e-06)100:0.00813837,((BJVL19:1e-06,(AR:0.00375647,EN:1e-06)100:0.00169894)100:0.00343891,(NI:0.0206129,((DO:0.00393731,CH:1e-06)100:0.00920594,(TXGR3:0.00300853,(FLCK18:1e-06,(FLWO6:1e-06,(SCCU3:1e-06,(MXGT4:1e-06,((FLCK216:1e-06,(BJSB3:1e-06,BJSL25:0.0035236)100:1e-06)100:1e-06,(FLBA140:1e-06,(FLSF47:1e-06,(CRL0030:1e-06,(BZBB1:1e-06,((FLSF54:1e-06,(CRL0001:0.00156,(CUVN10:1e-06,(FLSF33:1e-06,FLAB109:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00760932,(MXED8:1e-06,((LALC2:1e-06,(TXMD3:1e-06,FLMO62:1e-06)100:0.00198838)100:1e-06,(CUSV6:1e-06,(MXSA3017:1e-06,FLSA185:0.00242596)100:1e-06)100:1e-06)100:1e-06)100:0.0012869)100:0.000667953)100:0.00202874)100:0.00138506)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0110558)100:0.00210464)100:0.00238171)100:1e-06)100:0.00170153)100:9.20356e-05);"
13,260000,360000,43.0,35.0,"(DU:1e-06,reference:0.00233851,(DO:0.00307846,((CH:0.00539996,(HE:0.00722845,NI:1e-06)100:0.0200063)100:0.00356181,((BJVL19:1e-06,(EN:0.00210284,AR:0.00179136)100:1e-06)100:0.00345446,((CRL0001:1e-06,(HNDA09:1e-06,CUCA4:1e-06)100:0.0025318)100:0.000332674,(FLSF33:1e-06,(CRL0030:1e-06,(FLBA140:1e-06,(BZBB1:1e-06,(CUSV6:1e-06,(MXSA3017:1e-06,(FLSA185:0.00167098,(MXED8:1e-06,(LALC2:1e-06,(TXMD3:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,(FLCK18:1e-06,(FLCK216:1e-06,(MXGT4:1e-06,((BJSL25:0.00329024,BJSB3:1e-06)100:1e-06,(FLWO6:1e-06,(SCCU3:1e-06,(TXGR3:0.00191541,(FLSF47:1e-06,(FLAB109:1e-06,CUVN10:1e-06)100:0.00480461)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00203007)100:1e-06)100:0.0013476)100:1e-06)100:0.0006988)100:0.00206176)100:1e-06)100:0.00136493)100:1e-06)100:1e-06)100:0.00096862)100:0.00488315)100:0.0040061)100:0.00310595)100:0.0020942)100:0.00115435);"
14,280000,380000,35.0,35.0,"(DU:1e-06,reference:0.00254817,(DO:0.00231646,((CH:0.00574733,(HE:0.00732885,NI:1e-06)100:0.0203578)100:0.00378739,((BJVL19:1e-06,(EN:0.00162844,AR:1e-06)100:1e-06)100:0.00441087,((CRL0001:1e-06,(HNDA09:0.00153859,CUCA4:1e-06)100:1e-06)100:0.000367821,(FLSF33:1e-06,(FLSF47:1e-06,(CUSV6:1e-06,((MXSA3017:1e-06,CRL0030:1e-06)100:1e-06,(BZBB1:1e-06,(FLSA185:0.0023548,(MXED8:1e-06,(FLBA140:1e-06,(MXGT4:1e-06,(FLMO62:1e-06,(BJSB3:1e-06,(SCCU3:1e-06,(TXMD3:1e-06,(FLWO6:1e-06,(FLCK216:1e-06,(FLCK18:1e-06,(BJSL25:0.00462833,(TXGR3:0.00286506,(FLSF54:1e-06,(LALC2:1e-06,(CUVN10:1e-06,FLAB109:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00817071)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00270814)100:0.00271192)100:1e-06)100:1e-06)100:1e-06)100:0.0013299)100:0.00675499)100:0.00558454)100:0.00406695)100:0.00256717)100:0.00125755);"
15,300000,400000,35.0,35.0,"(DU:1e-06,reference:0.00254817,(DO:0.00231646,((CH:0.00574733,(HE:0.00732885,NI:1e-06)100:0.0203578)100:0.00378739,((BJVL19:1e-06,(EN:0.00162844,AR:1e-06)100:1e-06)100:0.00441087,((CRL0001:1e-06,(HNDA09:0.00153859,CUCA4:1e-06)100:1e-06)100:0.000367821,(FLSF33:1e-06,(FLSF47:1e-06,(CUSV6:1e-06,((MXSA3017:1e-06,CRL0030:1e-06)100:1e-06,(BZBB1:1e-06,(FLSA185:0.0023548,(MXED8:1e-06,(FLBA140:1e-06,(MXGT4:1e-06,(FLMO62:1e-06,(BJSB3:1e-06,(SCCU3:1e-06,(TXMD3:1e-06,(FLWO6:1e-06,(FLCK216:1e-06,(FLCK18:1e-06,(BJSL25:0.00462833,(TXGR3:0.00286506,(FLSF54:1e-06,(LALC2:1e-06,(CUVN10:1e-06,FLAB109:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00817071)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00270814)100:0.00271192)100:1e-06)100:1e-06)100:1e-06)100:0.0013299)100:0.00675499)100:0.00558454)100:0.00406695)100:0.00256717)100:0.00125755);"
16,320000,420000,31.0,35.0,"(reference:1e-06,(DU:0.0028441,DO:0.00161657)100:1e-06,((CH:0.00601383,(HE:0.0071164,NI:1e-06)100:0.0148093)100:0.00277095,(((EN:0.00330616,AR:0.00141913)100:0.00141817,(FLWO6:1e-06,(BJVL19:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:1e-06)100:0.00171894)100:1e-06,((CUCA4:1e-06,(CRL0030:1e-06,((HNDA09:1e-06,FLSF33:1e-06)100:1e-06,(MXSA3017:1e-06,(CUSV6:1e-06,BZBB1:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00342145,(FLSF47:0.0023807,(FLSA185:1e-06,(LALC2:1e-06,(CRL0001:1e-06,(FLSF54:1e-06,(FLBA140:1e-06,(MXED8:1e-06,(CUVN10:1e-06,(SCCU3:1e-06,(FLCK216:1e-06,(FLMO62:1e-06,(FLCK18:0.00294229,(TXMD3:1e-06,(MXGT4:1e-06,(TXGR3:1e-06,FLAB109:1e-06)100:1e-06)100:0.00324313)100:0.000660635)100:0.00590408)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0031254)100:0.00662006)100:0.0060832)100:0.00254776);"
17,340000,440000,59.0,35.0,"(reference:0.00258478,(DU:0.00417623,DO:0.00354493)100:0.000403708,((EN:0.00339949,((AR:0.000929122,BJVL19:1e-06)100:1e-06,(BJSB3:1e-06,(BJSL25:1e-06,FLAB109:1e-06)100:1e-06)100:0.00168112)100:0.00358591)100:0.0058222,((CH:0.00381802,(NI:0.00109104,HE:0.00663605)100:0.0174743)100:0.00102677,((MXSA3017:1e-06,CUSV6:1e-06)100:0.00117248,(MXED8:0.00116535,(MXGT4:0.00426122,((CUCA4:1e-06,(TXGR3:0.00293584,(FLSF33:0.00145545,(BZBB1:1e-06,(CRL0030:0.00129926,HNDA09:1e-06)100:1e-06)100:9.66266e-05)100:0.00141411)100:0.00138783)100:1e-06,(FLSF47:0.00149107,(FLSA185:1e-06,((FLSF54:1e-06,CRL0001:1e-06)100:0.00193335,((FLWO6:1e-06,(FLCK18:0.00196814,CUVN10:0.00139914)100:3.61181e-05)100:1e-06,(SCCU3:1e-06,(TXMD3:1e-06,(FLCK216:1e-06,(LALC2:1e-06,(FLMO62:1e-06,FLBA140:0.000830304)100:2.13406e-05)100:1e-06)100:1e-06)100:1e-06)100:0.000203163)100:0.00142368)100:4.48992e-05)100:1e-06)100:1e-06)100:0.00293359)100:1e-06)100:0.00110303)100:0.00681697)100:0.00791108)100:0.00170987);"
18,360000,460000,58.0,35.0,"(reference:0.00457926,(FLAB109:0.00143664,(AR:0.000951932,(BJVL19:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:0.0011694)100:0.00306164)100:0.00429197,((DO:0.00474861,(DU:0.00260121,EN:1e-06)100:0.00265915)100:0.00557062,((HE:0.00421039,NI:0.00158229)100:0.0152016,(CH:0.00622611,(CUSV6:1e-06,(MXSA3017:1e-06,((FLSA185:1e-06,MXED8:0.00126239)100:5.05397e-05,(MXGT4:0.00428469,(((FLWO6:1e-06,(FLMO62:1e-06,FLBA140:1e-06)100:3.73944e-05)100:0.00236755,(FLCK216:1e-06,(LALC2:1e-06,(CRL0001:1e-06,FLSF54:1e-06)100:1e-06)100:1e-06)100:0.00234172)100:1e-06,((TXGR3:0.00511832,(SCCU3:1e-06,(CRL0030:0.00151073,(BZBB1:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:0.00021929)100:0.00176668,((TXMD3:1e-06,FLSF33:0.00114181)100:4.16806e-05,(FLSF47:0.00134244,(CUCA4:1e-06,(FLCK18:0.00301412,CUVN10:0.00192044)100:0.000382681)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0030708)100:1e-06)100:0.00118887)100:0.00382114)100:0.000942098)100:0.000882104)100:0.00725283)100:0.00118051);"
19,380000,480000,58.0,35.0,"(reference:0.00457926,(FLAB109:0.00143664,(AR:0.000951932,(BJVL19:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:0.0011694)100:0.00306164)100:0.00429197,((DO:0.00474861,(DU:0.00260121,EN:1e-06)100:0.00265915)100:0.00557062,((HE:0.00421039,NI:0.00158229)100:0.0152016,(CH:0.00622611,(CUSV6:1e-06,(MXSA3017:1e-06,((FLSA185:1e-06,MXED8:0.00126239)100:5.05397e-05,(MXGT4:0.00428469,(((FLWO6:1e-06,(FLMO62:1e-06,FLBA140:1e-06)100:3.73944e-05)100:0.00236755,(FLCK216:1e-06,(LALC2:1e-06,(CRL0001:1e-06,FLSF54:1e-06)100:1e-06)100:1e-06)100:0.00234172)100:1e-06,((TXGR3:0.00511832,(SCCU3:1e-06,(CRL0030:0.00151073,(BZBB1:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:0.00021929)100:0.00176668,((TXMD3:1e-06,FLSF33:0.00114181)100:4.16806e-05,(FLSF47:0.00134244,(CUCA4:1e-06,(FLCK18:0.00301412,CUVN10:0.00192044)100:0.000382681)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0030708)100:1e-06)100:0.00118887)100:0.00382114)100:0.000942098)100:0.000882104)100:0.00725283)100:0.00118051);"
20,400000,500000,59.0,35.0,"(reference:0.00461225,(FLAB109:0.00143104,(AR:0.000948922,(BJVL19:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:1e-06)100:0.0011657)100:0.003041)100:0.00426616,((DO:0.00377602,(DU:0.00191233,EN:1e-06)100:0.00195907)100:0.00630975,((HE:0.0041917,NI:0.00158009)100:0.0151663,(CH:0.00622919,(CUSV6:1e-06,(MXSA3017:1e-06,((FLSA185:1e-06,MXED8:0.00126065)100:4.53491e-05,(MXGT4:0.00425679,(FLWO6:1e-06,((((FLMO62:1e-06,FLBA140:1e-06)100:0.00241704,(FLCK18:0.0030004,CUVN10:0.00204379)100:0.000253944)100:1e-06,(FLCK216:1e-06,(LALC2:1e-06,(CRL0001:1e-06,FLSF54:1e-06)100:1e-06)100:1e-06)100:0.00233345)100:1e-06,((CUCA4:1e-06,(TXMD3:1e-06,(SCCU3:1e-06,FLSF33:0.00113615)100:3.44334e-06)100:3.8734e-05)100:1e-06,(FLSF47:0.00133914,(TXGR3:0.00508776,(HNDA09:1e-06,(CRL0030:0.00151704,BZBB1:1e-06)100:1e-06)100:0.000206838)100:0.00175842)100:1e-06)100:1e-06)100:0.00179039)100:0.00125172)100:1e-06)100:0.00119525)100:0.00378627)100:0.000930713)100:0.000877298)100:0.00724351)100:0.00118203);"
21,420000,520000,67.0,36.0,"(reference:0.00422233,(EN:1e-06,(DO:0.00264748,DU:1e-06)100:0.00158182)100:0.0090554,((FLAB109:0.00148775,(AR:0.00171422,(BJVL19:1e-06,(BJSB3:1e-06,BJSL25:1e-06)100:0.00318485)100:1e-06)100:0.00378459)100:0.00407119,((CH:0.00549815,(NI:0.00171104,HE:0.00259657)100:0.020403)100:0.00308121,(MXSA3017:1e-06,((FLSA185:1e-06,MXED8:0.00162239)100:6.3648e-05,(MXGT4:0.00239303,((BZBB1:1e-06,(FLWO6:1e-06,(HNDA09:1e-06,(TXWV2:1e-06,CUSV6:0.00167675)100:2.52387e-05)100:1e-06)100:0.00199626)100:0.000113466,((TXGR3:0.00231623,CRL0030:0.00398106)100:1e-06,(FLSF33:0.00147671,(CUCA4:1e-06,(FLSF47:1e-06,(TXMD3:1e-06,(FLCK18:1e-06,(SCCU3:1e-06,(FLBA140:0.00150269,((CRL0001:1e-06,FLSF54:1e-06)100:0.00219953,(FLCK216:1e-06,(FLMO62:1e-06,(CUVN10:0.00220482,LALC2:1e-06)100:1e-06)100:1e-06)100:0.00436647)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00212289)100:1e-06)100:1e-06)100:1e-06)100:0.00222234)100:0.00262756)100:1e-06)100:0.00142535)100:0.00298179)100:0.00670759)100:0.00124089);"
22,440000,540000,75.0,37.0,"(reference:0.00529957,((CH:0.00580638,(HE:1e-06,NI:1e-06)100:0.0192469)100:0.00527341,((DO:0.000771001,DU:1e-06)100:0.00341848,(BJVL19:1e-06,(EN:0.00122512,AR:1e-06)100:0.00153572)100:0.00197636)100:0.000989632)100:0.00218469,(MXGT4:1e-06,((CUCA4:1e-06,(SCCU3:1e-06,(FLMO62:0.000840987,(TXWV2:1e-06,((FLSF47:1e-06,(FLSA185:1e-06,FLAB109:0.000720958)100:1e-06)100:1e-06,(FLCK216:1e-06,(LALC2:1e-06,CUVN10:1e-06)100:0.000655823)100:0.0010633)100:1e-06)100:0.000803627)100:7.20567e-06)100:0.000807312)100:1e-06,((BJSB3:1e-06,BJSL25:1e-06)100:0.00458095,(FLSF33:1e-06,(CUMM5:1e-06,(FLCK18:1e-06,(CRL0001:1e-06,(TXMD3:1e-06,(FLSF54:1e-06,((FLWO6:0.00191441,(CUSV6:0.00130579,HNDA09:1e-06)100:1e-06)100:0.00135161,(FLBA140:0.000787162,((MXED8:0.00075661,TXGR3:0.00106337)100:1.57475e-05,(BZBB1:1e-06,(CRL0030:1e-06,MXSA3017:0.00113946)100:1e-06)100:0.00205057)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.0012551)100:1e-06)100:0.000221181)100:0.00103371)100:0.00172278)100:0.000980598)100:0.00384498);"
23,460000,560000,85.0,37.0,"(reference:0.00246788,(AR:1e-06,EN:0.000838028)100:0.00158378,(DO:0.000582676,(DU:0.000658164,((CH:0.00547024,(HE:0.000929488,NI:1e-06)100:0.0222753)100:0.003783,(BJVL19:0.00110264,((FLWO6:0.00125326,CUSV6:1e-06)100:0.00261737,((MXSA3017:0.000671353,(CRL0030:1e-06,BZBB1:1e-06)100:1e-06)100:0.00162484,(TXMD3:1e-06,((FLSF54:0.000596442,(TXGR3:1e-06,MXED8:0.00175957)100:0.000850692)100:1e-06,(CRL0001:1e-06,((FLSF33:1e-06,HNDA09:1e-06)100:0.00187967,(FLCK18:1e-06,(CUMM5:1e-06,((BJSL25:1e-06,BJSB3:1e-06)100:0.00301014,(CUCA4:1e-06,(FLMO62:0.00076368,(MXGT4:0.00121209,(TXWV2:1e-06,(SCCU3:1e-06,(FLSA185:1e-06,(FLBA140:0.00164562,((FLAB109:0.00114157,FLSF47:1e-06)100:1e-06,(FLCK216:1e-06,(LALC2:0.000737584,CUVN10:1e-06)100:1e-06)100:0.000841027)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00108161)100:1e-06)100:0.00165106)100:0.00164054)100:0.000663237)100:1e-06)100:0.000672007)100:1e-06)100:0.00149323)100:0.00098714)100:1e-06)100:1e-06)100:0.00467937)100:0.00504574)100:0.00136729)100:0.000616298)100:1e-06);"
24,480000,580000,115.0,37.0,"(reference:0.00185544,(DO:0.000818382,(AR:0.00165895,(DU:0.000791433,EN:1e-06)100:0.00207266)100:0.000461745)100:1e-06,((CH:0.00504905,(HE:0.00175055,NI:1e-06)100:0.0155783)100:0.00514682,(BJVL19:0.00163899,((CUSV6:0.00188953,(MXSA3017:0.00046217,(CRL0030:1e-06,BZBB1:1e-06)100:1e-06)100:0.000724388)100:0.000738162,((CRL0001:1e-06,((MXED8:0.002477,TXGR3:1e-06)100:0.00117155,(HNDA09:0.00162538,(BJSL25:1e-06,(CUMM5:1e-06,BJSB3:0.000501477)100:1.91816e-05)100:0.00494526)100:0.000831191)100:1e-06)100:1e-06,(TXMD3:0.000437693,(FLCK18:1e-06,(FLSF54:1e-06,(FLWO6:0.00114201,(SCCU3:1e-06,(MXGT4:0.00125186,((TXWV2:1e-06,FLMO62:0.000515897)100:1.11328e-05,(CUCA4:0.00260277,(FLSA185:1e-06,(FLCK216:1e-06,((FLBA140:0.0011648,(CUVN10:1e-06,LALC2:0.000458966)100:0.00133834)100:1e-06,(FLSF47:1e-06,(FLAB109:1e-06,FLSF33:1e-06)100:0.001138)100:1e-06)100:1e-06)100:1e-06)100:0.000715116)100:1e-06)100:1e-06)100:1e-06)100:0.00144049)100:1e-06)100:0.000863291)100:0.000648955)100:0.000650746)100:0.000721013)100:0.00672174)100:0.00341743)100:0.00112418);"
